Transaction_Date,Price,Transaction_Type,Property_Type,Area_sqft,Location,Floor,Age_of_Property,Number_of_Rooms,Number_of_Bathrooms,Amenities,Orientation,Condition,Inflation_Rate,Interest_Rate,Exchange_Rate,Economic_Condition,Crime_Rate,Region_Average_Price,Days_on_Market
2019-01-03 13:19:34.077407740,8457006.0,Rent,Land,13839.0,Business Bay,49.0,16.0,4.0,,"Elevator, Garden",North,Under Construction,4.51,2.04,3.74,Stable,9.74,,220.0
2019-01-03 17:42:23.654365436,4639322.0,Sale,Townhouse,11091.0,Business Bay,43.0,29.0,8.0,5.0,"Parking, Pool, Elevator",West,New,1.15,3.76,3.93,Growth,2.3,12572488.0,244.0
2019-01-03 22:05:13.231323132,10878190.0,Rent,Land,6295.0,Downtown Dubai,3.0,20.0,,4.0,"Parking, Elevator, Pool, Gym, Garden",North,Renovated,2.93,,3.52,Stable,2.52,4459340.0,102.0
2019-01-04 02:28:02.808280828,14770871.0,Rent,Penthouse,2149.0,Dubai Marina,24.0,27.0,6.0,3.0,"Garden, Parking, Elevator",North,New,1.06,3.86,3.59,Stable,9.42,,189.0
2019-01-04 06:50:52.385238523,8630015.0,Rent,Penthouse,10156.0,Palm Jumeirah,26.0,15.0,3.0,3.0,Parking,West,New,4.93,3.7,3.71,Growth,4.65,,158.0
2019-01-04 11:13:41.962196219,942442.0,nan,Villa,9229.0,Palm Jumeirah,39.0,14.0,9.0,1.0,Elevator,West,Renovated,3.16,5.5,3.94,Growth,8.64,8160489.0,359.0
2019-01-04 15:36:31.539153915,12290648.0,,Penthouse,6710.0,Palm Jumeirah,7.0,47.0,7.0,2.0,"Garden, Pool, Parking, Elevator, Gym",North,New,4.33,2.53,3.8,Growth,0.94,804243.0,10.0
2019-01-04 19:59:21.116111611,4907976.0,Sale,Townhouse,10460.0,Jumeirah,21.0,49.0,1.0,4.0,"Parking, Elevator",East,New,3.69,4.29,3.68,Stable,3.8,7662429.0,43.0
2019-01-05 00:22:10.693069306,1660898.0,Rent,Penthouse,12426.0,Downtown Dubai,23.0,36.0,4.0,,Gym,North,Needs Renovation,1.84,4.43,3.54,Stable,5.27,12661125.0,301.0
2019-01-05 04:45:00.270027002,6463128.0,Sale,Land,1118.0,Palm Jumeirah,17.0,8.0,,3.0,"Garden, Gym, Parking, Pool, Elevator",East,Needs Renovation,4.18,3.98,3.89,Growth,0.11,7285338.0,341.0
2019-01-05 09:07:49.846984698,7231136.0,Sale,Land,3187.0,Downtown Dubai,,46.0,6.0,3.0,"Parking, Elevator, Pool",North,Under Construction,3.65,5.58,3.91,Recession,10.0,9153333.0,56.0
2019-01-05 13:30:39.423942394,2099243.0,Sale,Villa,2749.0,Dubai Marina,32.0,27.0,4.0,2.0,Gym,East,Under Construction,3.4,5.71,3.67,Stable,5.45,11530506.0,248.0
2019-01-05 17:53:29.000900090,10372684.0,Rent,Apartment,8690.0,Downtown Dubai,,45.0,,,"Pool, Elevator, Garden, Gym",South,Renovated,2.7,4.44,3.91,Stable,3.46,10977576.0,332.0
2019-01-05 22:16:18.577857785,10283300.0,Sale,Apartment,3378.0,Downtown Dubai,43.0,46.0,3.0,,"Elevator, Gym, Garden, Parking, Pool",nan,New,3.97,2.67,3.58,Growth,4.26,981004.0,316.0
2019-01-06 02:39:08.154815481,1601292.0,,Penthouse,14416.0,Dubai Marina,13.0,8.0,,3.0,Pool,West,Needs Renovation,2.99,3.14,3.59,Growth,,8608571.0,19.0
2019-01-06 07:01:57.731773177,6117568.0,Rent,Land,5084.0,Dubai Marina,0.0,34.0,1.0,2.0,"Parking, Pool",North,Under Construction,3.52,4.78,3.58,Stable,1.29,7556095.0,278.0
2019-01-06 11:24:47.308730873,5622349.0,Sale,Penthouse,12335.0,,31.0,40.0,1.0,5.0,"Elevator, Gym, Pool, Garden",nan,Renovated,4.84,4.24,3.77,Stable,7.03,3296837.0,147.0
2019-01-06 15:47:36.885688568,7361622.0,Sale,Penthouse,11418.0,Palm Jumeirah,46.0,38.0,,,"Pool, Elevator, Gym",South,Under Construction,2.86,3.83,3.82,Growth,3.15,,173.0
2019-01-06 20:10:26.462646264,4361971.0,Rent,Apartment,4749.0,Business Bay,28.0,16.0,1.0,5.0,"Garden, Parking, Elevator, Gym, Pool",North,Under Construction,,4.73,3.9,Growth,1.64,2759251.0,290.0
2019-01-07 00:33:16.039603960,1241592.0,Sale,Villa,5003.0,Downtown Dubai,4.0,49.0,4.0,2.0,"Elevator, Gym, Pool, Parking, Garden",East,New,4.97,4.42,3.78,Recession,8.34,686573.0,149.0
2019-01-07 04:56:05.616561656,13032415.0,Rent,Land,3391.0,Jumeirah,48.0,26.0,2.0,3.0,Parking,West,Under Construction,2.96,,3.62,Growth,5.3,,188.0
2019-01-07 09:18:55.193519351,14053517.0,Sale,Land,7171.0,Jumeirah,2.0,23.0,3.0,2.0,Parking,North,New,3.43,3.55,3.73,Recession,8.95,11287645.0,1.0
2019-01-07 13:41:44.770477047,9278552.0,Sale,Townhouse,948.0,Jumeirah,5.0,49.0,8.0,5.0,Elevator,South,Under Construction,1.85,2.22,3.6,Growth,8.31,14566240.0,186.0
2019-01-07 18:04:34.347434743,12424159.0,Sale,Villa,8271.0,Jumeirah,20.0,37.0,8.0,4.0,Gym,South,Needs Renovation,1.25,4.85,3.93,Stable,0.5,11516810.0,88.0
2019-01-07 22:27:23.924392439,10923461.0,Rent,Townhouse,14621.0,Jumeirah,32.0,30.0,4.0,4.0,Gym,South,Renovated,2.18,3.6,3.71,Recession,2.09,2895057.0,253.0
2019-01-08 02:50:13.501350135,5247739.0,Rent,Penthouse,3797.0,Business Bay,22.0,16.0,1.0,5.0,"Elevator, Parking, Pool, Gym, Garden",East,Under Construction,3.73,4.08,3.6,Growth,,,137.0
2019-01-08 07:13:03.078307830,2779214.0,Rent,Apartment,7502.0,Dubai Marina,37.0,25.0,,5.0,"Gym, Garden, Elevator, Pool",South,New,2.21,3.47,3.56,Recession,1.65,,206.0
2019-01-08 11:35:52.655265526,1176686.0,,Penthouse,3914.0,Palm Jumeirah,43.0,33.0,9.0,4.0,Pool,West,Renovated,,2.32,3.64,Stable,4.2,14145069.0,352.0
2019-01-08 15:58:42.232223222,11871429.0,Rent,Townhouse,4186.0,Palm Jumeirah,7.0,44.0,8.0,4.0,"Gym, Parking",West,Needs Renovation,3.25,3.85,3.67,Recession,2.86,11689310.0,109.0
2019-01-08 20:21:31.809180918,8762188.0,Rent,Penthouse,2975.0,Downtown Dubai,10.0,9.0,7.0,2.0,"Gym, Pool",West,New,1.53,5.65,3.77,Stable,4.83,7309370.0,208.0
2019-01-09 00:44:21.386138613,773436.0,Sale,Land,10923.0,Jumeirah,13.0,36.0,9.0,1.0,"Garden, Gym, Pool, Elevator, Parking",North,Renovated,4.95,4.43,3.64,,1.43,2885639.0,260.0
2019-01-09 05:07:10.963096309,3129790.0,Sale,Land,14766.0,,33.0,43.0,4.0,5.0,"Elevator, Pool",East,Under Construction,4.36,2.54,3.97,Growth,1.99,9976741.0,249.0
2019-01-09 09:30:00.540054005,3883656.0,Sale,Apartment,2990.0,Downtown Dubai,31.0,29.0,5.0,3.0,"Elevator, Parking, Pool, Garden",South,New,4.45,2.74,3.74,Stable,2.37,5658930.0,289.0
2019-01-09 13:52:50.117011701,7702212.0,Rent,Penthouse,13314.0,Jumeirah,2.0,23.0,3.0,,Parking,West,Renovated,1.39,4.12,3.82,Growth,8.9,1494559.0,119.0
2019-01-09 18:15:39.693969397,7232312.0,Rent,Townhouse,6398.0,Palm Jumeirah,8.0,5.0,8.0,4.0,"Gym, Parking",West,Needs Renovation,2.53,4.26,3.89,Growth,4.95,792855.0,225.0
2019-01-09 22:38:29.270927092,1614336.0,Rent,Penthouse,11940.0,Dubai Marina,38.0,15.0,2.0,4.0,"Pool, Garden, Parking",South,Needs Renovation,2.13,2.43,3.78,Growth,2.46,14512998.0,149.0
2019-01-10 03:01:18.847884788,5443261.0,Rent,Townhouse,10025.0,Downtown Dubai,8.0,35.0,2.0,,"Gym, Elevator, Garden, Parking, Pool",South,Needs Renovation,3.96,2.6,3.66,Stable,3.62,,23.0
2019-01-10 07:24:08.424842484,13899417.0,Rent,Penthouse,1498.0,,32.0,18.0,6.0,1.0,"Parking, Pool",North,Needs Renovation,1.86,3.66,3.73,Growth,,13012653.0,257.0
2019-01-10 11:46:58.001800180,1933010.0,Rent,Land,4549.0,Dubai Marina,39.0,49.0,3.0,2.0,"Gym, Parking, Pool, Garden",East,Renovated,1.25,4.16,3.75,Stable,1.08,12717023.0,4.0
2019-01-10 16:09:47.578757875,5744165.0,Sale,Land,2789.0,Palm Jumeirah,1.0,18.0,1.0,3.0,"Gym, Garden, Pool",West,Needs Renovation,3.73,5.75,3.76,Stable,1.21,7525518.0,124.0
2019-01-10 20:32:37.155715571,7057998.0,Rent,Townhouse,11204.0,Downtown Dubai,42.0,22.0,4.0,4.0,"Elevator, Gym, Pool",nan,Needs Renovation,3.19,,3.61,Recession,4.76,12541220.0,76.0
2019-01-11 00:55:26.732673267,11377813.0,Rent,Townhouse,12347.0,Palm Jumeirah,23.0,30.0,2.0,2.0,"Gym, Garden, Pool, Parking, Elevator",nan,Under Construction,4.09,3.86,4.0,Growth,2.11,10368535.0,243.0
2019-01-11 05:18:16.309630963,4210836.0,Rent,Villa,9865.0,Dubai Marina,6.0,38.0,3.0,4.0,"Elevator, Pool, Parking",North,Under Construction,1.32,5.32,3.9,Recession,9.4,,214.0
2019-01-11 09:41:05.886588658,8616685.0,Sale,Land,2954.0,Dubai Marina,0.0,40.0,7.0,,"Elevator, Pool, Gym, Parking",West,Renovated,3.45,3.7,3.75,Recession,7.33,,203.0
2019-01-11 14:03:55.463546354,12824625.0,Sale,Land,14944.0,Palm Jumeirah,,4.0,8.0,5.0,"Garden, Gym",North,New,2.51,4.78,3.99,,,,231.0
2019-01-11 18:26:45.040504050,1202954.0,Rent,Townhouse,1960.0,Downtown Dubai,33.0,31.0,9.0,3.0,"Elevator, Pool, Gym",East,Needs Renovation,1.49,4.57,3.73,Growth,8.23,8282722.0,213.0
2019-01-11 22:49:34.617461746,7286785.0,Rent,Townhouse,7360.0,Dubai Marina,18.0,41.0,7.0,,"Elevator, Parking, Garden, Pool",East,New,1.71,,3.69,Recession,5.33,1519144.0,248.0
2019-01-12 03:12:24.194419442,13257003.0,Sale,Penthouse,5699.0,Business Bay,18.0,9.0,9.0,,"Gym, Garden",East,Renovated,,3.05,3.65,Growth,4.27,14020713.0,152.0
2019-01-12 07:35:13.771377137,5597342.0,Sale,Townhouse,13001.0,Business Bay,,19.0,5.0,5.0,"Parking, Elevator",West,New,1.61,3.74,3.79,Stable,4.83,12773463.0,345.0
2019-01-12 11:58:03.348334833,6641639.0,Rent,Townhouse,1784.0,Dubai Marina,6.0,4.0,5.0,2.0,"Gym, Elevator, Pool",North,New,2.6,2.23,3.88,Recession,4.46,3003558.0,252.0
2019-01-12 16:20:52.925292529,10390276.0,Sale,Townhouse,14409.0,Jumeirah,26.0,17.0,,5.0,Gym,West,Needs Renovation,3.43,3.91,3.52,Stable,0.9,5576471.0,175.0
2019-01-12 20:43:42.502250225,8189398.0,nan,Penthouse,8077.0,Palm Jumeirah,47.0,20.0,4.0,4.0,"Elevator, Pool, Garden, Gym",North,Renovated,2.18,2.3,3.67,Recession,9.34,1981591.0,36.0
2019-01-13 01:06:32.079207920,5249015.0,nan,Apartment,6664.0,Business Bay,47.0,32.0,3.0,3.0,"Parking, Garden, Elevator",West,New,4.88,2.49,3.63,Stable,6.55,1761564.0,247.0
2019-01-13 05:29:21.656165616,2397107.0,Sale,Apartment,14283.0,Dubai Marina,35.0,14.0,1.0,1.0,Garden,South,New,2.16,4.07,3.69,Recession,1.85,12195621.0,305.0
2019-01-13 09:52:11.233123312,10245383.0,Rent,Apartment,985.0,Jumeirah,32.0,35.0,8.0,5.0,"Pool, Gym",South,Needs Renovation,3.16,2.73,3.63,Growth,7.17,14759805.0,347.0
2019-01-13 14:15:00.810081008,14679360.0,Sale,Villa,7856.0,Jumeirah,26.0,31.0,5.0,2.0,Gym,North,Renovated,4.58,2.79,3.66,Stable,3.48,10263615.0,74.0
2019-01-13 18:37:50.387038703,6461539.0,Rent,Land,4464.0,Downtown Dubai,29.0,8.0,2.0,3.0,"Pool, Garden, Elevator",North,New,2.72,3.9,3.7,Stable,0.94,7366045.0,172.0
2019-01-13 23:00:39.963996399,8875544.0,Sale,Townhouse,12556.0,Downtown Dubai,45.0,42.0,1.0,5.0,"Parking, Elevator, Pool",nan,Under Construction,4.19,4.73,3.56,Growth,,7826165.0,311.0
2019-01-14 03:23:29.540954095,7030169.0,Sale,Apartment,2414.0,Jumeirah,26.0,20.0,,4.0,"Parking, Gym, Pool",North,New,3.87,3.4,3.99,Stable,8.43,6552135.0,29.0
2019-01-14 07:46:19.117911791,6970630.0,,Townhouse,12704.0,Jumeirah,21.0,22.0,5.0,3.0,"Parking, Elevator, Gym, Garden",nan,New,2.56,,3.81,Recession,,4434690.0,66.0
2019-01-14 12:09:08.694869487,1683268.0,Sale,Penthouse,4009.0,Downtown Dubai,29.0,13.0,9.0,1.0,"Garden, Parking",West,Renovated,1.98,3.52,3.53,Recession,,11640809.0,103.0
2019-01-14 16:31:58.271827182,2571783.0,Sale,Townhouse,13061.0,,6.0,17.0,8.0,5.0,Garden,North,New,1.05,2.32,3.88,Stable,2.74,1328519.0,196.0
2019-01-14 20:54:47.848784878,14520622.0,Sale,Apartment,2703.0,Downtown Dubai,33.0,11.0,2.0,2.0,"Gym, Elevator, Pool, Parking",East,Needs Renovation,4.47,2.92,3.96,Growth,3.6,11123027.0,354.0
2019-01-15 01:17:37.425742574,8379957.0,Sale,Land,11791.0,Downtown Dubai,23.0,25.0,1.0,1.0,"Pool, Gym",East,Under Construction,4.96,4.28,3.93,Growth,5.55,11542454.0,324.0
2019-01-15 05:40:27.002700270,6855537.0,Rent,Penthouse,13303.0,Business Bay,,14.0,8.0,1.0,"Garden, Gym, Elevator, Parking, Pool",South,New,4.3,3.73,3.63,Growth,,4062328.0,148.0
2019-01-15 10:03:16.579657965,13036432.0,Rent,Land,11883.0,Downtown Dubai,36.0,36.0,1.0,2.0,"Parking, Pool, Garden, Elevator",nan,Under Construction,1.17,2.94,3.59,Recession,2.46,1804789.0,173.0
2019-01-15 14:26:06.156615661,7411823.0,Rent,Apartment,12366.0,Downtown Dubai,39.0,46.0,1.0,,"Gym, Parking, Pool, Elevator",South,New,2.55,,3.86,Stable,6.56,11982618.0,214.0
2019-01-15 18:48:55.733573357,14874464.0,nan,Land,2289.0,Downtown Dubai,7.0,20.0,8.0,4.0,"Gym, Garden, Parking",West,Needs Renovation,4.86,3.17,3.58,Recession,0.31,7662043.0,14.0
2019-01-15 23:11:45.310531053,13051732.0,Rent,Apartment,7651.0,Palm Jumeirah,8.0,8.0,4.0,,"Parking, Gym, Pool, Garden",East,Needs Renovation,,4.21,3.85,Recession,0.5,14810647.0,48.0
2019-01-16 03:34:34.887488748,754626.0,Rent,Villa,2131.0,Downtown Dubai,16.0,46.0,4.0,1.0,"Elevator, Pool",nan,Under Construction,2.88,4.14,3.84,Stable,6.06,12512726.0,328.0
2019-01-16 07:57:24.464446444,4503879.0,Rent,Apartment,7186.0,,33.0,19.0,2.0,4.0,"Pool, Gym, Parking, Garden, Elevator",East,New,2.36,2.07,3.93,Stable,4.96,2794848.0,95.0
2019-01-16 12:20:14.041404140,13478651.0,Rent,Townhouse,2957.0,Business Bay,21.0,34.0,7.0,2.0,Garden,East,New,2.67,5.07,3.65,Recession,4.4,3180453.0,199.0
2019-01-16 16:43:03.618361836,10026582.0,Sale,Townhouse,13823.0,Palm Jumeirah,20.0,47.0,8.0,3.0,Pool,West,Needs Renovation,4.64,2.26,3.77,Recession,4.84,6355786.0,326.0
2019-01-16 21:05:53.195319532,10326909.0,Sale,Apartment,6301.0,Palm Jumeirah,,34.0,8.0,5.0,"Gym, Garden",West,Renovated,2.38,3.03,3.84,Stable,5.31,1355844.0,57.0
2019-01-17 01:28:42.772277227,2787214.0,Rent,Land,875.0,Business Bay,33.0,20.0,3.0,5.0,"Elevator, Gym, Garden, Parking, Pool",West,Needs Renovation,1.85,3.36,3.55,Stable,7.85,11372729.0,63.0
2019-01-17 05:51:32.349234923,12097371.0,Sale,Townhouse,2917.0,Dubai Marina,37.0,34.0,8.0,5.0,"Elevator, Pool, Garden, Gym",South,New,2.47,2.08,3.53,Growth,5.89,13304703.0,307.0
2019-01-17 10:14:21.926192619,8729112.0,Sale,Land,12799.0,Downtown Dubai,,20.0,,1.0,"Pool, Elevator",West,Needs Renovation,2.83,5.91,3.83,Stable,3.52,9082665.0,355.0
2019-01-17 14:37:11.503150315,14760867.0,,Penthouse,7987.0,Downtown Dubai,38.0,10.0,1.0,3.0,"Gym, Pool, Elevator",West,New,2.06,2.67,3.95,Growth,8.07,5980847.0,120.0
2019-01-17 19:00:01.080108010,7637268.0,Sale,Penthouse,8407.0,Business Bay,16.0,11.0,5.0,,"Gym, Garden",East,Renovated,1.15,5.33,3.73,Stable,9.8,6079703.0,321.0
2019-01-17 23:22:50.657065706,1626305.0,Rent,Townhouse,3229.0,Downtown Dubai,10.0,41.0,7.0,2.0,Gym,West,Renovated,4.07,2.45,3.61,Stable,8.87,4303833.0,263.0
2019-01-18 03:45:40.234023402,11660196.0,Rent,Land,5884.0,Downtown Dubai,20.0,24.0,,4.0,"Elevator, Pool, Parking, Garden, Gym",West,Under Construction,4.77,5.91,3.54,Growth,0.91,1977543.0,163.0
2019-01-18 08:08:29.810981098,6678714.0,Rent,Villa,10618.0,Business Bay,5.0,18.0,6.0,,Parking,North,New,4.36,2.84,3.74,,6.23,7950016.0,362.0
2019-01-18 12:31:19.387938794,13548721.0,nan,Penthouse,10051.0,Jumeirah,7.0,24.0,3.0,1.0,"Garden, Pool, Elevator, Gym",West,Renovated,4.56,5.59,3.72,Stable,3.98,9856400.0,113.0
2019-01-18 16:54:08.964896489,936657.0,nan,Penthouse,944.0,Business Bay,10.0,27.0,1.0,3.0,Parking,South,New,2.5,5.37,3.77,Growth,5.77,10306214.0,175.0
2019-01-18 21:16:58.541854185,11296693.0,Sale,Townhouse,7269.0,Dubai Marina,39.0,40.0,8.0,3.0,"Pool, Elevator, Garden, Gym",North,Under Construction,3.1,5.23,3.56,Growth,7.57,12674116.0,120.0
2019-01-19 01:39:48.118811881,3942997.0,Sale,Villa,10548.0,Dubai Marina,14.0,12.0,5.0,1.0,"Gym, Pool",nan,Renovated,1.57,3.54,3.88,,8.36,4994211.0,262.0
2019-01-19 06:02:37.695769577,7828142.0,Rent,Villa,6947.0,Palm Jumeirah,,0.0,3.0,4.0,Parking,West,Under Construction,1.17,4.41,3.92,Recession,4.89,,336.0
2019-01-19 10:25:27.272727272,6688594.0,nan,Villa,3506.0,Downtown Dubai,,43.0,,3.0,"Pool, Parking, Elevator, Gym",South,New,2.48,3.75,3.58,Stable,1.5,10486241.0,13.0
2019-01-19 14:48:16.849684968,11573583.0,Rent,Land,5242.0,,49.0,49.0,7.0,2.0,Parking,East,Under Construction,1.69,4.48,3.94,Stable,8.02,12100299.0,364.0
2019-01-19 19:11:06.426642664,7932929.0,Rent,Penthouse,10199.0,Jumeirah,24.0,40.0,1.0,3.0,"Pool, Gym",West,Renovated,1.84,2.52,3.57,Recession,3.9,10999173.0,131.0
2019-01-19 23:33:56.003600360,12043776.0,Rent,Land,13241.0,,20.0,18.0,7.0,3.0,"Garden, Gym, Elevator, Parking",West,Needs Renovation,3.18,2.97,3.7,Stable,,6808575.0,250.0
2019-01-20 03:56:45.580558055,3671738.0,Sale,Villa,7121.0,Business Bay,,2.0,2.0,1.0,"Garden, Pool",North,Renovated,3.86,5.08,3.53,Recession,8.33,11502866.0,8.0
2019-01-20 08:19:35.157515751,1768600.0,Sale,Villa,1022.0,Business Bay,5.0,41.0,,,"Elevator, Pool, Parking, Garden",North,New,1.6,,3.77,Recession,1.89,4200426.0,354.0
2019-01-20 12:42:24.734473447,14885790.0,nan,Villa,2704.0,Jumeirah,5.0,35.0,1.0,5.0,Gym,North,New,3.03,2.84,3.65,Recession,9.68,3119490.0,13.0
2019-01-20 17:05:14.311431143,8050840.0,Rent,Penthouse,8179.0,Dubai Marina,9.0,42.0,4.0,2.0,"Garden, Elevator, Pool, Parking, Gym",South,New,2.72,5.73,3.52,Recession,,,92.0
2019-01-20 21:28:03.888388839,1534006.0,,Apartment,10012.0,Jumeirah,13.0,8.0,7.0,5.0,"Elevator, Garden",North,Renovated,2.43,,3.7,Stable,5.35,2939921.0,132.0
2019-01-21 01:50:53.465346534,12277511.0,nan,Penthouse,14295.0,Jumeirah,28.0,35.0,9.0,2.0,"Elevator, Gym, Garden",North,Under Construction,3.12,,3.9,Stable,9.56,10556925.0,284.0
2019-01-21 06:13:43.042304230,9924886.0,Rent,Land,2151.0,Palm Jumeirah,1.0,17.0,,3.0,Pool,East,New,1.61,5.62,3.63,Recession,0.87,14705621.0,28.0
2019-01-21 10:36:32.619261926,7025579.0,,Apartment,4452.0,Dubai Marina,46.0,35.0,3.0,2.0,Parking,North,Renovated,3.14,5.34,3.96,Recession,,14286680.0,350.0
2019-01-21 14:59:22.196219622,528533.0,,Villa,10248.0,Palm Jumeirah,1.0,34.0,6.0,,"Gym, Parking, Elevator",South,New,1.22,,3.85,Growth,2.34,5525418.0,146.0
2019-01-21 19:22:11.773177317,3519661.0,Rent,Villa,14448.0,Dubai Marina,31.0,24.0,9.0,1.0,"Pool, Elevator, Parking, Gym",East,Needs Renovation,1.32,2.85,3.79,Recession,5.29,12525533.0,50.0
2019-01-21 23:45:01.350135013,11648819.0,Rent,Penthouse,4317.0,Palm Jumeirah,3.0,17.0,,3.0,"Pool, Garden, Gym, Parking, Elevator",East,Renovated,2.31,5.65,3.63,Recession,8.8,919345.0,288.0
2019-01-22 04:07:50.927092709,8225990.0,Sale,Townhouse,3078.0,Jumeirah,17.0,5.0,,3.0,"Parking, Pool",South,Under Construction,3.33,3.16,3.68,Growth,8.47,5973781.0,254.0
2019-01-22 08:30:40.504050405,7311522.0,Rent,Apartment,1878.0,Jumeirah,25.0,20.0,2.0,4.0,"Gym, Elevator, Parking",North,Under Construction,1.06,,3.92,,2.51,,26.0
2019-01-22 12:53:30.081008100,640848.0,Sale,Apartment,2206.0,Palm Jumeirah,43.0,32.0,4.0,5.0,"Gym, Elevator",East,Renovated,1.91,5.48,3.67,Growth,0.98,2079037.0,285.0
2019-01-22 17:16:19.657965796,13014454.0,Sale,Land,2664.0,Jumeirah,6.0,22.0,,2.0,"Elevator, Pool, Gym",North,Under Construction,2.48,2.93,3.87,Stable,8.87,6838126.0,106.0
2019-01-22 21:39:09.234923492,2646521.0,Rent,Land,4405.0,Dubai Marina,41.0,43.0,9.0,3.0,"Pool, Gym",nan,New,1.16,5.21,3.7,Growth,9.04,6201625.0,82.0
2019-01-23 02:01:58.811881188,6827177.0,Rent,Townhouse,6981.0,Jumeirah,43.0,13.0,4.0,2.0,"Pool, Parking, Elevator, Garden, Gym",West,Under Construction,1.75,2.15,3.59,Stable,7.77,10146071.0,323.0
2019-01-23 06:24:48.388838884,4701649.0,Rent,Villa,13705.0,Business Bay,23.0,36.0,6.0,3.0,"Parking, Gym",West,New,1.21,2.72,3.82,Recession,1.26,13037494.0,157.0
2019-01-23 10:47:37.965796579,11906970.0,Sale,Villa,2545.0,Jumeirah,31.0,22.0,5.0,5.0,Gym,nan,Under Construction,3.81,3.9,3.78,Stable,3.96,,224.0
2019-01-23 15:10:27.542754275,2458643.0,nan,Land,14664.0,Jumeirah,40.0,43.0,3.0,1.0,"Elevator, Gym",West,Needs Renovation,3.15,3.38,3.64,Growth,,8086439.0,88.0
2019-01-23 19:33:17.119711971,9548926.0,Rent,Townhouse,3624.0,,8.0,2.0,1.0,1.0,Gym,South,Needs Renovation,1.65,2.61,3.61,Growth,9.87,11534622.0,355.0
2019-01-23 23:56:06.696669667,11331527.0,Sale,Villa,8876.0,Downtown Dubai,49.0,8.0,5.0,5.0,"Gym, Elevator",East,Under Construction,1.43,5.3,3.83,Stable,2.94,13810158.0,20.0
2019-01-24 04:18:56.273627362,3954009.0,Rent,Penthouse,5595.0,Downtown Dubai,34.0,31.0,2.0,1.0,"Gym, Garden, Parking",South,Under Construction,3.33,3.23,3.53,Stable,1.63,12095257.0,215.0
